Date,Open,High,Low,Close,Adj Close,Volume
5/17/21,324.630005,326.369995,321.450012,324.410004,322.863251,39395000
5/18/21,325.390015,326.649994,321.940002,322.220001,320.683685,36528500
5/19/21,316.660004,322.899994,316.299988,322.589996,321.05191,66319100
5/20/21,324.119995,329.709991,323.890015,328.829987,327.262115,46466100
5/21/21,330.429993,330.859985,326.640015,327.01001,325.450836,50330400
5/24/21,329.369995,333.670013,326.899994,332.51001,330.924622,32475800
5/25/21,334.070007,334.809998,331.76001,332.970001,331.382385,31280300
5/26/21,333.660004,334.609985,332.950012,334.130005,332.536896,25444900
5/27/21,333.670013,334.540009,332.670013,332.880005,331.292847,27931700
5/28/21,334.119995,335.570007,333.600006,333.929993,332.33783,29927400
6/1/21,335.299988,335.790009,331.429993,332.820007,331.233154,31145400
6/2/21,333.25,334.339996,331.700012,333.470001,331.880005,22047900
6/3/21,330.549988,331.859985,328.279999,330,328.426575,37057800
6/4/21,331.850006,336.059998,331.779999,335.600006,333.999878,38736500
6/7/21,335.049988,336.660004,334.339996,336.600006,334.995148,32611900
6/8/21,338.399994,339.290009,335.029999,336.76001,335.154388,27282800
6/9/21,338.170013,338.970001,336.649994,336.839996,335.233948,21485300
6/10/21,337.190002,340.459991,336.730011,340.350006,338.727234,33702100
6/11/21,340.359985,341.25,339.690002,341.23999,339.613007,21222800
6/14/21,341.679993,344.519989,340.459991,344.51001,342.867401,27827700
6/15/21,344.149994,344.470001,341.519989,342.26001,340.628143,35963800
6/16/21,342.73999,343.839996,337.450012,341.01001,339.384064,55399500
6/17/21,339.970001,346.380005,339.920013,345.339996,343.69342,59722700
6/18/21,343.630005,344.809998,341.859985,342.630005,340.996368,55414900
6/21/21,342.429993,344.690002,340.149994,344.359985,343.115631,32992600
6/22/21,344.149994,348.029999,343.839996,347.570007,346.314056,28941600
6/23/21,347.51001,348.920013,346.880005,347.73999,346.483459,27188500
6/24/21,349.730011,351.459991,349.170013,349.890015,348.625702,32581600
6/25/21,350.470001,350.720001,348.839996,349.459991,348.197235,28682800
6/28/21,350.779999,353.850006,350.720001,353.709991,352.431885,39130300
6/29/21,353.529999,355.019989,352.670013,354.98999,353.707245,29426000
6/30/21,354.829987,355.230011,353.829987,354.429993,353.149261,32724000
7/1/21,354.070007,355.089996,352.679993,354.570007,353.288757,29290000
7/2/21,356.519989,358.970001,356.279999,358.640015,357.344086,32727200
7/6/21,359.26001,360.480011,356.48999,360.190002,358.888458,38842400
7/7/21,362.450012,362.76001,358.940002,360.950012,359.645721,35265200
7/8/21,355.73999,359.649994,354.420013,358.769989,357.473572,50890000
7/9/21,358.170013,361.5,357.570007,361.01001,359.705505,35184500
7/12/21,362.450012,362.890015,360.829987,362.420013,361.110413,25717700
7/13/21,362.029999,365.470001,361.540009,362.420013,361.110413,39723000
7/14/21,364.829987,365.48999,362.220001,363.070007,361.758057,35336400
7/15/21,362.980011,363.190002,358.459991,360.519989,359.217285,53391600
7/16/21,361.399994,362.410004,357.23999,357.600006,356.307861,47262000
7/19/21,354.049988,355.179993,352.040009,354.670013,353.388428,64404600
7/20/21,355.630005,360.279999,353.799988,358.790009,357.49353,42183700
7/21/21,358.350006,361.559998,358.119995,361.559998,360.25351,30259900
7/22/21,361.769989,363.959991,361.769989,363.950012,362.634857,30252200
7/23/21,365.309998,368.48999,363.920013,368.200012,366.869537,31960800
7/26/21,367.48999,368.890015,366.600006,368.48999,367.158478,28438100
7/27/21,368.220001,368.220001,360.160004,364.429993,363.113129,57933100
7/28/21,365.600006,367.450012,363.23999,365.829987,364.508057,42066200
7/29/21,365.25,367.679993,365.25,366.480011,365.155762,25672500
7/30/21,362.440002,365.170013,362.410004,364.570007,363.252625,36484600
8/2/21,366.279999,366.880005,363.869995,364.600006,363.282532,27334100
8/3/21,365.279999,366.929993,362,366.809998,365.484558,35558500
8/4/21,366.769989,368.320007,365.630005,367.339996,366.012634,29602200
8/5/21,368.179993,369.910004,367.450012,369.670013,368.334198,21443900
8/6/21,368.369995,369.369995,366.910004,368.049988,366.720062,33332100
8/9/21,368.519989,369.269989,367.390015,368.730011,367.397614,25960200
8/10/21,369.26001,369.559998,365.619995,366.839996,365.514465,35130800
8/11/21,368.140015,368.649994,364.839996,366.209991,364.886719,34249800
8/12/21,365.690002,367.899994,364.299988,367.529999,366.201965,25969200
8/13/21,367.890015,369.160004,367.380005,368.820007,367.487305,19336200
