Date,Open,High,Low,Close,Adj Close,Volume
5/17/21,3245.929932,3292.75,3234.590088,3270.389893,3270.389893,3723900
5/18/21,3292.580078,3312,3230.370117,3232.280029,3232.280029,2828400
5/19/21,3195,3234.75,3184,3231.800049,3231.800049,2679700
5/20/21,3244.399902,3259.679932,3236.179932,3247.679932,3247.679932,2633200
5/21/21,3250,3256.689941,3197.01001,3203.080078,3203.080078,4104900
5/24/21,3215.5,3257.949951,3210.5,3244.98999,3244.98999,2422800
5/25/21,3266.669922,3279.820068,3213.76001,3259.050049,3259.050049,3261100
5/26/21,3274.590088,3295.72998,3258.51001,3265.159912,3265.159912,2384000
5/27/21,3256,3260.360107,3230.040039,3230.110107,3230.110107,2561200
5/28/21,3242,3247.98999,3219.699951,3223.070068,3223.070068,2329800
6/1/21,3243.5,3250.97998,3209.060059,3218.649902,3218.649902,2430000
6/2/21,3223.100098,3235,3208,3233.98999,3233.98999,2014500
6/3/21,3204.22998,3214.439941,3184.030029,3187.01001,3187.01001,2398300
6/4/21,3212,3221,3198.810059,3206.219971,3206.219971,2249700
6/7/21,3197.330078,3208,3172.199951,3198.01001,3198.01001,2215800
6/8/21,3222.610107,3279.530029,3218.01001,3264.110107,3264.110107,3416700
6/9/21,3272.870117,3297.580078,3270.699951,3281.149902,3281.149902,2455500
6/10/21,3282.01001,3351,3281.149902,3349.649902,3349.649902,3476500
6/11/21,3349.649902,3366.580078,3333.449951,3346.830078,3346.830078,2817400
6/14/21,3346.830078,3385,3335.5,3383.870117,3383.870117,2569700
6/15/21,3384,3396.98999,3363.110107,3383.129883,3383.129883,2426200
6/16/21,3392,3426.350098,3360.530029,3415.25,3415.25,4202800
6/17/21,3403.179932,3497.199951,3401,3489.23999,3489.23999,5136500
6/18/21,3479.98999,3507,3473.709961,3486.899902,3486.899902,5247700
6/21/21,3476.419922,3482,3434,3453.959961,3453.959961,3277100
6/22/21,3458.060059,3523.780029,3456.090088,3505.439941,3505.439941,3345100
6/23/21,3505,3521,3483.199951,3503.820068,3503.820068,2813300
6/24/21,3507.639893,3524.860107,3430.850098,3449.080078,3449.080078,3832000
6/25/21,3464,3464.820068,3394.179932,3401.459961,3401.459961,3941000
6/28/21,3416,3448,3413.51001,3443.889893,3443.889893,2242800
6/29/21,3438.820068,3456.030029,3423.030029,3448.139893,3448.139893,2098400
6/30/21,3441.060059,3471.600098,3435,3440.159912,3440.159912,2404000
7/1/21,3434.610107,3457,3409.419922,3432.969971,3432.969971,2037100
7/2/21,3451.639893,3511.719971,3436.919922,3510.97998,3510.97998,3169400
7/6/21,3530.110107,3685.47998,3529,3675.73999,3675.73999,6744800
7/7/21,3717.379883,3734.199951,3678.909912,3696.580078,3696.580078,5328100
7/8/21,3643.560059,3759.98999,3621.120117,3731.409912,3731.409912,5180600
7/9/21,3722.52002,3748,3693.399902,3719.340088,3719.340088,3748200
